City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Merauke,ID,80.85,light rain,-8.4667,140.3333,
3,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
4,Hajipur,IN,84.18,mist,25.6833,85.2167,Sunderwati Niketan
5,Atuona,PF,76.71,clear sky,-9.8,-139.0333,Villa Enata
10,Rikitea,PF,68.5,moderate rain,-23.1203,-134.9692,People ThankYou
12,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Ponta Do Sol,PT,68.0,scattered clouds,32.6667,-17.1,Hotel do Campo
17,Hidrolandia,BR,72.84,scattered clouds,-4.4081,-40.4378,Pousada Rei De Carneiro
19,Sorong,ID,83.86,light rain,-0.8833,131.25,Waigo Splash Hotel
22,Maumere,ID,78.98,light rain,-8.6199,122.2111,Sylvia Hotel
23,Wamba,NG,70.56,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
24,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
27,Rangoon,MM,78.76,light rain,16.8053,96.1561,Clover Hotel
29,Carnarvon,AU,66.29,clear sky,-24.8667,113.6333,Hospitality Carnarvon
30,Panzhihua,CN,72.21,overcast clouds,26.5851,101.7128,Electric Power Hotel
31,Kandi,BJ,71.19,light rain,11.1342,2.9386,Hébergement de la Poste
32,Elko,US,84.22,clear sky,41.0002,-115.5012,
34,Pangoa,PE,66.65,overcast clouds,-12.1167,-73.0,
38,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
42,Haines Junction,CA,69.75,overcast clouds,60.7522,-137.5108,Parkside Inn
45,Eydhafushi,MV,83.53,overcast clouds,5.1033,73.0708,Soneva Fushi
48,San Quintin,MX,67.51,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
51,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
53,Airai,TL,69.3,light rain,-8.9266,125.4092,
54,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Albany,US,71.4,overcast clouds,42.6001,-73.9662,
60,Lulea,SE,69.87,broken clouds,65.5842,22.1547,Comfort Hotel Arctic
61,Olinda,BR,73.13,moderate rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
62,Faya,SA,71.71,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
66,Bethel,US,71.91,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
70,Albion,US,76.95,clear sky,42.2431,-84.753,Days Inn by Wyndham Albion
71,Awjilah,LY,78.48,clear sky,29.1081,21.2869,المنزل
72,Saint-Philippe,RE,65.21,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
73,Manzanillo,CU,75.78,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
75,Mahebourg,MU,68.29,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
80,Zhanaozen,KZ,71.35,clear sky,43.3,52.8,K.korabay 28A
82,Hamilton,US,80.01,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
85,Shelburne,CA,75.65,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
86,Mana,GF,76.62,broken clouds,5.6592,-53.7767,LE SAMANA
87,Cabinda,AO,71.55,scattered clouds,-5.55,12.2,Hotel Maiombe
95,Vaitape,PF,79.02,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
96,Katsuura,JP,83.41,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
98,Hithadhoo,MV,80.65,moderate rain,-0.6,73.0833,Scoop Guest House
99,Tokur,RU,84.47,clear sky,53.1333,132.9,
103,Norman Wells,CA,73.44,few clouds,65.282,-126.8329,Heritage Hotel
104,Limbang,MY,84.31,overcast clouds,4.75,115.0,Purnama Hotel
105,Luganville,VU,79.3,light rain,-15.5333,167.1667,The Espiritu Hotel
107,Arraial Do Cabo,BR,66.97,clear sky,-22.9661,-42.0278,Pousada Porto Praia
108,Butaritari,KI,82.89,few clouds,3.0707,172.7902,Isles Sunset Lodge
112,Lagoa,PT,66.24,broken clouds,39.05,-27.9833,Casa Das Faias
113,Lakeside,US,80.98,clear sky,30.13,-81.7682,Whitey's Fish Camp
114,Bengkulu,ID,79.83,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
115,Avera,US,77.56,overcast clouds,33.194,-82.5271,
118,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
119,Villa Bruzual,VE,71.58,overcast clouds,9.3328,-69.1208,hotel italia
121,Ribeira Grande,PT,67.37,broken clouds,38.5167,-28.7,Quinta da Meia Eira
124,Benguela,AO,68.14,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
125,Coruripe,BR,74.37,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
127,Kita,ML,74.59,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
128,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
130,Gasa,PS,77.31,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
132,Georgiyevka,KZ,71.64,few clouds,43.0369,74.7114,Gostinitsa Imperiya
134,Semirom,IR,77.49,broken clouds,31.4167,51.5667,Motel Dena
135,Selikhino,RU,81.39,clear sky,50.3672,137.4996,Tosklivyy Dom
136,Palmer,US,68.41,broken clouds,42.1584,-72.3287,Wedgewood Motel
138,Nome,US,69.17,clear sky,64.5011,-165.4064,Dredge 7 Inn
139,Slave Lake,CA,67.98,broken clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
145,Achinsk,RU,66.7,overcast clouds,56.2694,90.4993,Otel' Viktoriya
147,Abha,SA,71.42,haze,18.2164,42.5053,Abha Hotel
148,Makokou,GA,66.6,broken clouds,0.5738,12.8642,Hôtel
150,Adrar,MR,83.86,clear sky,20.5022,-10.0711,
152,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
154,Encheng,CN,81.41,overcast clouds,22.1839,112.3026,Pinghu Hostel
155,Vila Franca Do Campo,PT,66.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
