City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Elizabeth,ZA,2022-06-27 22:04:17,-33.918,25.5701,57.85,50,1,5.82
1,Rikitea,PF,2022-06-27 22:04:18,-23.1203,-134.9692,73.65,71,6,7.94
2,Saldanha,ZA,2022-06-27 22:04:18,-33.0117,17.9442,61.81,59,0,10.4
3,Torbay,CA,2022-06-27 22:03:23,47.6666,-52.7314,61.59,94,98,14.09
4,Hilo,US,2022-06-27 22:04:20,19.7297,-155.09,81.28,72,100,8.01
5,Northam,GB,2022-06-27 22:04:21,51.0333,-4.2167,53.62,84,50,10.74
6,Bluff,NZ,2022-06-27 22:04:22,-46.6,168.3333,41.45,73,9,5.55
7,Avarua,CK,2022-06-27 22:04:23,-21.2078,-159.775,78.85,78,40,23.02
8,Constitucion,CL,2022-06-27 22:04:25,-35.3333,-72.4167,53.74,81,13,7.81
9,Yellowknife,CA,2022-06-27 22:01:07,62.456,-114.3525,66.56,37,93,8.99
10,Albany,US,2022-06-27 22:00:21,42.6001,-73.9662,77.45,49,51,11.25
11,Barrow,US,2022-06-27 22:04:27,71.2906,-156.7887,62.62,59,75,10.36
12,Bengkulu,ID,2022-06-27 22:04:28,-3.8004,102.2655,75.06,88,99,4.07
13,Mataura,NZ,2022-06-27 22:04:29,-46.1927,168.8643,37.92,94,24,1.9
14,Norman Wells,CA,2022-06-27 22:04:29,65.282,-126.8329,81.66,29,70,1.03
15,Hobart,AU,2022-06-27 22:01:03,-42.8794,147.3294,53.22,74,75,9.22
16,Arrecife,ES,2022-06-27 22:04:31,28.963,-13.5477,69.78,73,75,19.57
17,Gannan,CN,2022-06-27 22:04:32,47.9147,123.5031,67.91,84,98,7.96
18,Jumla,NP,2022-06-27 22:04:34,29.2747,82.1838,63.72,96,99,1.19
19,Faanui,PF,2022-06-27 22:04:34,-16.4833,-151.75,79.74,74,8,20.29
20,Anadyr,RU,2022-06-27 22:01:16,64.75,177.4833,52.3,82,75,6.71
21,Bairiki,KI,2022-06-27 22:04:36,1.3292,172.9752,81.43,79,96,13.94
22,Yenagoa,NG,2022-06-27 22:04:37,4.9247,6.2642,74.5,94,100,4.7
23,Mitu,CO,2022-06-27 22:04:38,1.1983,-70.1733,76.17,81,91,1.28
24,Faizabad,IN,2022-06-27 22:04:39,26.7833,82.1333,90.61,54,100,7.63
25,Rio Linda,US,2022-06-27 22:04:40,38.691,-121.4486,105.22,19,0,8.05
26,Atuona,PF,2022-06-27 22:04:41,-9.8,-139.0333,77.77,74,10,19.24
27,San Patricio,US,2022-06-27 22:04:42,28.017,-97.5169,101.12,36,75,16.4
28,Namibe,AO,2022-06-27 22:04:43,-15.1961,12.1522,67.3,63,1,1.7
29,Hasaki,JP,2022-06-27 22:04:44,35.7333,140.8333,79.29,87,66,7.36
30,Vaini,TO,2022-06-27 22:04:45,-21.2,-175.2,77.16,73,20,5.75
31,Sao Borja,BR,2022-06-27 22:04:46,-28.6606,-56.0044,60.94,95,96,5.01
32,Victoria,HK,2022-06-27 22:00:55,22.2855,114.1577,85.32,82,48,3.0
33,Kutum,SD,2022-06-27 22:04:47,14.2,24.6667,83.1,36,77,5.06
34,Vieste,IT,2022-06-27 22:04:48,41.8825,16.175,82.58,50,3,7.18
35,Cidreira,BR,2022-06-27 22:04:49,-30.1811,-50.2056,60.49,88,100,6.78
36,Jequie,BR,2022-06-27 22:04:50,-13.8575,-40.0836,66.38,82,86,3.56
37,Qena,EG,2022-06-27 22:04:51,26.1615,32.7183,90.12,21,0,10.76
38,Clyde River,CA,2022-06-27 22:04:51,70.4692,-68.5914,35.83,93,100,6.91
39,Islamkot,PK,2022-06-27 22:04:52,24.6997,70.177,87.67,64,90,16.04
40,Yuncheng,CN,2022-06-27 22:00:43,35.0231,110.9928,75.61,42,0,5.19
41,Port Hardy,CA,2022-06-27 22:03:20,50.6996,-127.4199,64.83,75,100,4.32
42,Mar Del Plata,AR,2022-06-27 22:04:54,-38.0023,-57.5575,53.1,74,0,9.22
43,Roald,NO,2022-06-27 22:04:55,62.5833,6.1333,58.33,94,75,5.75
44,Busselton,AU,2022-06-27 22:04:08,-33.65,115.3333,52.95,72,71,6.02
45,Karangasem,ID,2022-06-27 22:05:27,-8.45,115.6167,74.97,81,82,11.05
46,Lucea,JM,2022-06-27 22:05:28,18.451,-78.1736,82.26,72,84,2.17
47,Kapaa,US,2022-06-27 22:05:29,22.0752,-159.319,82.72,74,0,16.11
48,Cherskiy,RU,2022-06-27 22:05:30,68.75,161.3,53.55,32,100,11.05
